what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364392722429
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1364392722546
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364392742754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364392745129
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1364392745277
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1364392745430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364392751032
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1364392752039
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1364392752046
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364392753887
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1364392754025
opened,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1364392754324
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1364392754858
error,log,,,"Error starting server Tomcat v6.0 Server at localhost",1364392760244
error,log,,,"Several ports (8080, 8009) required by Tomcat v6.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1364392760254
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364392760340
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364393017751
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364393023440
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364393027009
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1364393027036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364393032152
error,log,,,"Several ports (8080, 8009) required by Tomcat v6.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1364393032202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364393033567
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1364393036172
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1364393041353
error,log,,,"Several ports (8080, 8009) required by Tomcat v6.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1364393046500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364393046523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364393048113
opened,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1364393050882
activated,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1364393051083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1364393063788
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1364393067218
closed,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1364393067218
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1364393069213
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1364393070540
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1364393072871
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1364393074661
