what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1364706406533
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1364706406536
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1364706406538
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1364706406541
started,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1364706406544
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1364706406547
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1364706406571
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1364706406574
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1364706406577
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1364706406580
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1364706406628
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.304.v201102160550,"org.eclipse.wst.jsdt.web.core",1364706406631
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.303.v201012160047,"org.eclipse.wst.jsdt.web.support.jsp",1364706406633
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1364706406636
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1364706406639
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1364706406639
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1364706406677
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1364706406681
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1364706406681
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1364706406684
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1364706406795
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1364706406799
os,sysinfo,,,"win32",1364706406806
arch,sysinfo,,,"x86",1364706406806
ws,sysinfo,,,"win32",1364706406806
locale,sysinfo,,,"en_US",1364706406806
processors,sysinfo,,,"2",1364706406806
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1364706406806
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1364706406806
java.specification.name,sysinfo,,,"Java Platform API Specification",1364706406806
java.specification.vendor,sysinfo,,,"Oracle Corporation",1364706406806
java.specification.version,sysinfo,,,"1.7",1364706406806
java.vendor,sysinfo,,,"Oracle Corporation",1364706406806
java.version,sysinfo,,,"1.7.0_17",1364706406806
java.vm.info,sysinfo,,,"mixed mode, sharing",1364706406806
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1364706406806
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1364706406806
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1364706406806
java.vm.specification.version,sysinfo,,,"1.7",1364706406806
java.vm.vendor,sysinfo,,,"Oracle Corporation",1364706406806
java.vm.version,sysinfo,,,"23.7-b01",1364706406806
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1364706406903
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1364706407048
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1364706407089
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1364706407244
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1364706407278
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1364706407309
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1364706407592
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1364706407595
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1364706407597
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1364706411462
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1364706411479
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1364706411558
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1364706416219
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1364706419022
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1364706419225
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1364706419236
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1364706419249
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.402.v201102071010,"org.eclipse.jst.j2ee.ejb",1364706420392
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1364706420405
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1364706420430
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1364706420439
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1364706420866
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364706423495
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1364706423938
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1364706423949
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1364706425166
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364706428724
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1364706429567
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1364706431061
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1364706431531
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1364706435072
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1364706443574
error,log,,,"Removing obsolete files from server...",1364706443822
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364706443890
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364706445311
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1364706447025
error,log,,,"Server Tomcat v6.0 Server at localhost failed to start.",1364706455343
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1364706455507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364706455596
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364706460703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364706466367
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364706468339
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1364706468427
error,log,,,"Removing obsolete files from server...",1364706468457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364706468574
error,log,,,"Server Tomcat v6.0 Server at localhost failed to start.",1364706469820
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364706475323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364706581310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364706582731
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1364706582756
error,log,,,"Removing obsolete files from server...",1364706582837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364706582867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1364706585327
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1364706585787
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1364706588076
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1364706588176
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1364706658860
